assists,champLevel,combatPlayerScore,creepsPerMinDeltas_0-10,creepsPerMinDeltas_10-20,creepsPerMinDeltas_20-30,creepsPerMinDeltas_30-end,csDiffPerMinDeltas_0-10,csDiffPerMinDeltas_10-20,csDiffPerMinDeltas_20-30,csDiffPerMinDeltas_30-end,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_0-10,damageTakenPerMinDeltas_10-20,damageTakenPerMinDeltas_20-30,damageTakenPerMinDeltas_30-end,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,first_match_duration,first_match_id,first_match_time,goldEarned,goldPerMinDeltas_0-10,goldPerMinDeltas_10-20,goldPerMinDeltas_20-30,goldPerMinDeltas_30-end,goldSpent,id,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,latest_match_time,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,participantId,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,quadraKills,role,sightWardsBoughtInGame,summoner_id,summoner_level,summoner_name,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,total_matches,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_30-end,xpPerMinDeltas_0-10,xpPerMinDeltas_10-20,xpPerMinDeltas_20-30,xpPerMinDeltas_30-end
15.0,11.0,0.0,4.4,0.0,0.0,0.0,2.66,0.0,0.0,0.0,6152.0,6152.0,3198.0,-113.14,0.0,0.0,0.0,361.0,0.0,0.0,0.0,1.0,2.0,False,False,True,False,False,False,0 days 00:15:43.000000000,2742423645,2018-03-18T01:23:42.856000+00:00,11480.0,468.8,0.0,0.0,0.0,6600.0,5.0,0.0,1055.0,3508.0,3006.0,3086.0,1042.0,0.0,3340.0,2.0,17.0,NONE,526.0,14.0,2.0,2018-03-19T06:21:23.571000+00:00,487.0,1267.0,365.0,1197.0,12.0,4.0,8.0,0.0,5.0,0.0,8000.0,8200.0,60952.0,19885.0,5944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,92391513,5,KrisLzy,10.0,67233.0,21103.0,7142.0,2062.0,87.0,0.0,0.0,339.0,1.0,6,0.0,5014.0,852.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,True,274.9,0.0,0.0,0.0,386.9,0.0,0.0,0.0
14.0,11.0,0.0,2.3,2.3,0.0,0.0,0.4,1.15,0.0,0.0,4134.0,4134.0,3037.0,-165.35000000000005,-801.5500000000003,0.0,0.0,228.0,697.6,0.0,0.0,3.0,0.0,False,False,True,False,False,False,0 days 00:20:02.000000000,2741979869,2018-03-17T05:57:56.831000+00:00,6705.0,248.0,372.1,0.0,0.0,5850.0,3.0,0.0,3034.0,3094.0,1042.0,3133.0,0.0,1036.0,3340.0,1.0,3.0,TOP,440.0,2.0,1.0,2018-03-17T16:17:41.678000+00:00,872.0,4862.0,1374.0,4535.0,0.0,0.0,0.0,0.0,3.0,0.0,8000.0,8200.0,29023.0,10866.0,4677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO,0.0,93802301,3,WFSN,7.0,41620.0,12240.0,9256.0,847.0,46.0,0.0,0.0,129.0,2.0,3,0.0,7735.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,True,21.250000000000032,111.74999999999996,0.0,0.0,299.3,431.4,0.0,0.0
6.0,9.0,0.0,1.4,0.0,0.0,0.0,2.48,0.0,0.0,0.0,3604.0,3604.0,2486.0,-182.14000000000004,0.0,0.0,0.0,375.20000000000016,0.0,0.0,0.0,2.0,0.0,False,False,False,False,False,False,0 days 00:13:19.000000000,2740902206,2018-03-16T00:54:30.725000+00:00,5731.0,350.7,0.0,0.0,0.0,3400.0,2.0,0.0,1056.0,3027.0,1001.0,0.0,0.0,0.0,3340.0,1.0,6.0,NONE,0.0,4.0,1.0,2018-03-17T06:02:35.937000+00:00,430.0,10061.0,2233.0,428.0,0.0,0.0,0.0,0.0,2.0,0.0,8200.0,8100.0,11177.0,1975.0,5565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,93729916,3,JonoKun ,5.0,21239.0,4208.0,5993.0,2555.0,27.0,0.0,0.0,74.0,3.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,223.82,0.0,0.0,0.0,275.70000000000005,0.0,0.0,0.0
7.0,12.0,0.0,5.9,0.0,0.0,0.0,2.16,0.0,0.0,0.0,3320.0,3320.0,2782.0,-201.82000000000005,0.0,0.0,0.0,379.4,0.0,0.0,0.0,1.0,2.0,False,True,False,True,False,False,0 days 00:16:09.000000000,2737539797,2018-03-11T03:19:41.944000+00:00,9504.0,448.4,0.0,0.0,0.0,7575.0,4.0,1.0,0.0,3041.0,2031.0,3020.0,3145.0,3285.0,3340.0,1.0,16.0,NONE,0.0,16.0,2.0,2018-03-11T03:39:31.486000+00:00,131.0,36890.0,15059.0,4455.0,0.0,0.0,0.0,0.0,4.0,0.0,8200.0,8100.0,9286.0,2496.0,3976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,93840379,2,Teasir,20.0,65216.0,23417.0,8431.0,2109.0,89.0,0.0,0.0,63.0,3.0,2,0.0,19040.0,5861.0,0.0,1.0,0.0,12.0,1.0,0.0,8.0,True,152.85999999999996,0.0,0.0,0.0,510.4,0.0,0.0,0.0
32.0,13.0,0.0,0.0,0.3,0.0,0.0,1.95,-2.220446049250313e-16,0.0,0.0,5493.0,2859.0,3833.0,-133.05,-10.100000000000025,0.0,0.0,321.9,664.5999999999998,0.0,0.0,2.0,1.0,False,False,True,False,True,False,0 days 00:22:41.000000000,2736765255,2018-03-10T08:50:24.657000+00:00,10032.0,265.2,437.1,0.0,0.0,7300.0,4.0,0.0,3303.0,3107.0,3504.0,3041.0,3158.0,0.0,3340.0,2.0,6.0,BOTTOM,0.0,4.0,2.0,2018-03-10T08:50:24.657000+00:00,547.0,22564.0,11084.0,6043.0,0.0,0.0,0.0,0.0,4.0,0.0,8200.0,8100.0,5668.0,1805.0,4619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,93720031,2,eyezacnewton,36.0,30490.0,13313.0,10874.0,14963.0,7.0,0.0,0.0,165.0,9.0,1,0.0,2257.0,423.0,210.0,0.0,0.0,4.0,0.0,0.0,4.0,True,133.79999999999998,88.05000000000004,0.0,0.0,303.4,513.2,0.0,0.0
5.0,11.0,0.0,5.6999999999999975,0.0,0.0,0.0,1.5399999999999996,0.0,0.0,0.0,3790.0,3790.0,8885.0,-160.2399999999999,0.0,0.0,0.0,601.1,0.0,0.0,0.0,1.0,0.0,False,False,False,True,False,False,0 days 00:15:37.000000000,2737184547,2018-03-10T18:57:03.444000+00:00,8406.0,368.4,0.0,0.0,0.0,7100.0,2.0,1.0,3074.0,1055.0,0.0,3047.0,3751.0,1031.0,3340.0,1.0,9.0,NONE,0.0,8.0,1.0,2018-03-10T19:38:56.556000+00:00,796.0,5029.0,1845.0,2961.0,0.0,0.0,0.0,0.0,2.0,0.0,8400.0,8200.0,64722.0,12318.0,10034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO,0.0,93840184,3,KoreaJuyeon,20.0,69752.0,14163.0,13773.0,3350.0,106.0,0.0,0.0,24.0,1.0,3,0.0,0.0,0.0,778.0,2.0,0.0,0.0,0.0,0.0,0.0,True,96.44,0.0,0.0,0.0,453.3,0.0,0.0,0.0
1.0,13.0,0.0,1.0,0.7,1.3,0.0,0.9,0.0,0.2,0.0,2823.0,2823.0,15461.0,-47.59999999999998,-85.70000000000005,-545.4,0.0,332.4,581.9,540.2,0.0,4.0,0.0,False,False,False,False,False,False,0 days 00:30:58.000000000,2736846755,2018-03-10T15:20:00.572000+00:00,8248.0,168.7,285.5,273.0,0.0,2900.0,1.0,0.0,1055.0,1028.0,1055.0,1055.0,1055.0,1028.0,3364.0,0.0,0.0,MIDDLE,0.0,0.0,0.0,2018-03-11T00:22:48.549000+00:00,632.0,506.0,181.0,3273.0,0.0,0.0,0.0,0.0,1.0,0.0,8100.0,8000.0,26154.0,2952.0,11493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOLO,0.0,93639917,4,watermelonboiis,123.0,26704.0,3177.0,14767.0,2690.0,30.0,0.0,0.0,251.0,2.0,7,0.0,44.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,55.899999999999984,-199.8,103.8,0.0,334.2,195.8,366.4,0.0
2.0,13.0,0.0,6.2,0.0,0.0,0.0,1.3600000000000003,0.0,0.0,0.0,6853.0,6853.0,2888.0,-186.38,0.0,0.0,0.0,190.6,0.0,0.0,0.0,0.0,2.0,False,False,False,False,False,False,0 days 00:19:53.000000000,2736811042,2018-03-10T10:18:55.191000+00:00,10199.0,356.5,0.0,0.0,0.0,9350.0,3.0,0.0,3285.0,1056.0,3089.0,3020.0,3113.0,0.0,3340.0,1.0,10.0,NONE,0.0,10.0,3.0,2018-03-10T17:42:22.885000+00:00,0.0,46133.0,8806.0,4844.0,8.0,4.0,4.0,0.0,3.0,0.0,8200.0,8100.0,16590.0,2123.0,2702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO,0.0,87631578,4,GTXforce,14.0,96176.0,17627.0,7546.0,2585.0,130.0,0.0,0.0,40.0,1.0,3,1.0,33452.0,6696.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,True,95.81999999999998,0.0,0.0,0.0,547.9000000000002,0.0,0.0,0.0
10.0,12.0,0.0,3.3,0.0,0.0,0.0,2.0800000000000005,0.0,0.0,0.0,2291.0,2291.0,14448.0,-264.96000000000004,0.0,0.0,0.0,612.9,0.0,0.0,0.0,3.0,1.0,False,False,False,False,False,False,0 days 00:19:35.000000000,2735098454,2018-03-08T02:00:31.856000+00:00,8674.0,378.2,0.0,0.0,0.0,8300.0,4.0,0.0,1054.0,3071.0,3111.0,3065.0,3024.0,0.0,3340.0,2.0,10.0,NONE,0.0,7.0,2.0,2018-03-10T18:13:44.766000+00:00,638.0,1334.0,1334.0,4591.0,11.0,0.0,7.0,0.0,4.0,0.0,8400.0,8200.0,55562.0,15864.0,14454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,93869145,5,Jungle 2trick,18.0,59651.0,18443.0,19117.0,4324.0,53.0,0.0,0.0,97.0,2.0,7,0.0,2754.0,1244.0,72.0,0.0,0.0,3.0,0.0,0.0,2.0,True,102.14,0.0,0.0,0.0,378.6,0.0,0.0,0.0
16.0,12.0,0.0,5.1,0.0,0.0,0.0,4.800000000000002,0.0,0.0,0.0,4624.0,4624.0,4268.0,-205.3,0.0,0.0,0.0,388.2,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,0 days 00:14:00.000000000,2695060245,2018-01-16T05:50:54.986000+00:00,8012.0,496.3,0.0,0.0,0.0,2850.0,4.0,0.0,1054.0,3044.0,3067.0,1001.0,0.0,0.0,3340.0,1.0,13.0,MIDDLE,456.0,13.0,1.0,2018-01-17T06:05:14.227000+00:00,0.0,3005.0,2392.0,1005.0,0.0,0.0,0.0,0.0,4.0,0.0,8400.0,8200.0,48136.0,11330.0,7246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOLO,0.0,92201075,5,TrEx18,18.0,51142.0,13723.0,8252.0,1128.0,63.0,0.0,0.0,274.0,1.0,7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,371.20000000000016,0.0,0.0,0.0,583.9000000000002,0.0,0.0,0.0
