summoner_id,summoner_name,summoner_level,total_matches,first_match_time,first_match_duration,first_match_id,assists,champLevel,combatPlayerScore,creepsPerMinDeltas_0-10,creepsPerMinDeltas_10-20,creepsPerMinDeltas_20-30,creepsPerMinDeltas_30-end,csDiffPerMinDeltas_0-10,csDiffPerMinDeltas_10-20,csDiffPerMinDeltas_20-30,csDiffPerMinDeltas_30-end,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_0-10,damageTakenPerMinDeltas_10-20,damageTakenPerMinDeltas_20-30,damageTakenPerMinDeltas_30-end,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldPerMinDeltas_0-10,goldPerMinDeltas_10-20,goldPerMinDeltas_20-30,goldPerMinDeltas_30-end,goldSpent,id,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,latest_match_time,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,participantId,pentaKills,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,quadraKills,role,sightWardsBoughtInGame,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_30-end,xpPerMinDeltas_0-10,xpPerMinDeltas_10-20,xpPerMinDeltas_20-30,xpPerMinDeltas_30-end
29420090,llAtticuSll,5,4,2018-01-16T05:52:55.178000+00:00,0 days 00:12:10.000000000,2695070507,16.0,9.0,0.0,3.3000000000000003,0.0,0.0,0.0,3.2,0.0,0.0,0.0,826.0,826.0,3572.0,-117.00000000000006,0.0,0.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,5180.0,355.4,0.0,0.0,0.0,2800.0,1.0,0.0,1054.0,3044.0,3111.0,0.0,0.0,0.0,3340.0,1.0,6.0,TOP,0.0,6.0,1.0,2018-01-16T06:57:02.620000+00:00,0.0,804.0,804.0,460.0,0.0,0.0,0.0,0.0,1.0,0.0,8400.0,8200.0,20533.0,5869.0,6146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOLO,0.0,13.0,21860.0,7196.0,6607.0,2270.0,35.0,0.0,0.0,81.0,2.0,0.0,522.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,303.4000000000001,0.0,0.0,0.0,416.70000000000016,0.0,0.0,0.0
92081052,mayunaisee,3,1,2018-01-16T06:31:14.950000+00:00,0 days 00:22:46.000000000,2695076886,1.0,11.0,0.0,1.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,501.0,501.0,5814.0,0.0,0.0,0.0,0.0,464.9,469.9,0.0,0.0,5.0,0.0,False,False,False,False,False,False,5854.0,179.9,278.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3340.0,0.0,2.0,TOP,0.0,0.0,1.0,2018-01-16T06:31:14.950000+00:00,539.0,640.0,640.0,3638.0,8.0,4.0,4.0,0.0,1.0,0.0,8400.0,8200.0,33968.0,4507.0,7048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOLO,0.0,12.0,34921.0,5460.0,10686.0,1099.0,44.0,0.0,0.0,57.0,1.0,0.0,313.0,313.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,280.0,478.3,0.0,0.0
92250937,AnnaYYZ,2,2,2018-01-16T05:20:57.448000+00:00,0 days 00:18:15.000000000,2695044045,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,2297.0,2297.0,1738.0,-26.800000000000008,0.0,0.0,0.0,228.2,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,False,7319.0,278.1,0.0,0.0,0.0,6800.0,3.0,0.0,1056.0,3027.0,3020.0,3116.0,0.0,0.0,3340.0,1.0,4.0,JUNGLE,0.0,4.0,1.0,2018-01-16T06:46:16.054000+00:00,0.0,12880.0,4331.0,458.0,0.0,0.0,0.0,0.0,3.0,0.0,8200.0,8100.0,10213.0,2089.0,5016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,0.0,14.0,28679.0,7353.0,5474.0,1623.0,25.0,0.0,0.0,78.0,3.0,0.0,5584.0,932.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,141.20000000000005,0.0,0.0,0.0,315.3,0.0,0.0,0.0
92050896,astrosloth33,5,7,2018-01-16T04:44:25.289000+00:00,0 days 00:15:35.000000000,2695024714,10.0,9.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,2630.0,3879.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,4.0,0.0,False,False,False,False,False,False,6564.0,302.1,0.0,0.0,0.0,450.0,4.0,0.0,1055.0,1038.0,1038.0,0.0,0.0,0.0,3340.0,1.0,2.0,TOP,0.0,2.0,1.0,2018-01-17T01:55:58.061000+00:00,482.0,0.0,0.0,1269.0,0.0,0.0,0.0,0.0,4.0,0.0,8000.0,8200.0,21746.0,5853.0,4871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO,0.0,19.0,21746.0,5853.0,6140.0,756.0,32.0,0.0,0.0,410.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,362.9,0.0,0.0,0.0
92161142,JovanJokaaa,4,6,2018-01-16T18:28:25.771000+00:00,0 days 00:13:31.000000000,2695470461,8.0,8.0,0.0,0.9,0.0,0.0,0.0,0.75,0.0,0.0,0.0,644.0,644.0,3500.0,-182.8,0.0,0.0,0.0,301.1,0.0,0.0,0.0,2.0,0.0,False,False,False,True,False,False,4635.0,259.5,0.0,0.0,0.0,0.0,1.0,1.0,1038.0,0.0,0.0,0.0,0.0,0.0,3340.0,0.0,1.0,BOTTOM,0.0,0.0,1.0,2018-01-17T07:00:55.217000+00:00,524.0,273.0,273.0,675.0,0.0,0.0,0.0,0.0,1.0,0.0,8400.0,8200.0,10448.0,1867.0,4554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO,0.0,9.0,10722.0,2140.0,5229.0,1050.0,9.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,161.2,0.0,0.0,0.0,338.0,0.0,0.0,0.0
93763503,Sab00ty,4,4,2018-03-21T04:01:31.298000+00:00,0 days 00:16:04.000000000,2744530198,4.0,11.0,0.0,3.6,0.0,0.0,0.0,3.24,0.0,0.0,0.0,16692.0,10870.0,1098.0,-263.9,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False,False,8616.0,471.6,0.0,0.0,0.0,7700.0,5.0,0.0,1055.0,0.0,3031.0,3087.0,3067.0,1036.0,3341.0,1.0,10.0,NONE,639.0,10.0,2.0,2018-03-22T03:43:22.361000+00:00,0.0,13788.0,1353.0,560.0,4.0,0.0,0.0,0.0,5.0,0.0,8000.0,8200.0,46663.0,9038.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,3.0,60452.0,10391.0,2578.0,390.0,67.0,0.0,0.0,193.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,True,246.58,0.0,0.0,0.0,472.5,0.0,0.0,0.0
93663477,Xeno706,4,3,2018-03-21T02:09:48.722000+00:00,0 days 00:35:11.000000000,2744433985,2.0,12.0,0.0,0.4,1.2,1.4,1.8,0.0,0.0,0.0,0.0,1842.0,1842.0,17260.0,0.0,0.0,0.0,0.0,632.9,862.4,898.5999999999997,709.0,15.0,0.0,False,False,False,False,False,False,8593.0,144.0,206.8,301.0,310.8,8000.0,4.0,0.0,1055.0,3077.0,1001.0,3065.0,3156.0,0.0,3340.0,0.0,4.0,TOP,0.0,0.0,1.0,2018-03-23T02:53:13.989000+00:00,217.0,6364.0,2904.0,5076.0,0.0,0.0,0.0,0.0,4.0,0.0,8400.0,8200.0,40690.0,9708.0,22408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,22.0,52004.0,12612.0,27484.0,2730.0,39.0,0.0,0.0,23.0,1.0,0.0,4950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,154.0,253.9,459.6,237.6
93852680,Swimmin1nthepuss,4,5,2018-03-20T00:25:15.512000+00:00,0 days 00:14:33.000000000,2743850382,4.0,5.0,0.0,0.2,0.0,0.0,0.0,1.68,0.0,0.0,0.0,519.0,519.0,2269.0,-177.16000000000003,0.0,0.0,0.0,303.7,0.0,0.0,0.0,4.0,0.0,False,False,False,False,False,False,4772.0,263.5,0.0,0.0,0.0,2600.0,3.0,0.0,1056.0,3010.0,3020.0,0.0,0.0,0.0,3340.0,0.0,0.0,NONE,0.0,0.0,0.0,2018-03-24T04:10:28.813000+00:00,166.0,654.0,287.0,128.0,0.0,0.0,0.0,0.0,3.0,0.0,8200.0,8100.0,3633.0,301.0,2908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,0.0,4720.0,734.0,3037.0,137.0,2.0,0.0,0.0,0.0,2.0,0.0,432.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,217.34,0.0,0.0,0.0,210.2,0.0,0.0,0.0
93790050,RATIRL9LOLNIG,1,2,2018-03-10T10:07:11.024000+00:00,0 days 00:15:00.000000000,2736800527,7.0,7.0,0.0,0.4,0.0,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,246.0,246.0,8471.0,78.43999999999996,0.0,0.0,0.0,797.8,0.0,0.0,0.0,15.0,0.0,False,False,True,False,False,False,5199.0,203.7,0.0,0.0,0.0,4525.0,3.0,0.0,3117.0,3086.0,3096.0,1052.0,0.0,0.0,3340.0,0.0,1.0,NONE,212.0,0.0,1.0,2018-03-10T10:24:48.948000+00:00,115.0,101.0,80.0,1220.0,0.0,0.0,0.0,0.0,3.0,0.0,8000.0,8200.0,6907.0,4466.0,9388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,0.0,7009.0,4546.0,11609.0,998.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,107.18000000000002,0.0,0.0,0.0,122.5,0.0,0.0,0.0
93079277,Raybal,3,1,2018-03-11T13:29:55.359000+00:00,0 days 00:15:38.000000000,2737786489,2.0,8.0,0.0,0.4,0.0,0.0,0.0,2.04,0.0,0.0,0.0,1731.0,1476.0,4804.0,-173.51999999999995,0.0,0.0,0.0,330.8,0.0,0.0,0.0,3.0,0.0,False,False,False,False,False,False,5024.0,210.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3340.0,1.0,2.0,NONE,0.0,2.0,1.0,2018-03-11T13:29:55.359000+00:00,375.0,5928.0,909.0,1074.0,1.0,0.0,0.0,0.0,3.0,0.0,8200.0,8100.0,5545.0,684.0,3735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUO_SUPPORT,0.0,0.0,13190.0,1891.0,4809.0,527.0,11.0,0.0,0.0,14.0,1.0,0.0,1716.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,187.7,0.0,0.0,0.0,221.3,0.0,0.0,0.0
